State Code,Indian Census State Code 2011,State Name,District Code,Indian Census District Code 2011,District Name,ICRISAT Indian Id,SAT/NONSAT District,Region Code,Region Name,Agro Ecological Zones ICRISAT,Agro Ecological Zones NATP,AEZ Production Zones NATP,Latitude,Longitude
14,22,Chhattisgarh,1,409,Durg,1013,1,2,Durg division,3,5,5.10,21.20,81.30
14,22,Chhattisgarh,2,414,Bastar,1002,2,1,Bastar division,1,5,5.10,19.10,82.00
14,22,Chhattisgarh,3,410,Raipur,1027,1,3,Raipur division,3,5,5.10,21.20,81.70
14,22,Chhattisgarh,4,406,Bilaspur,1006,1,4,Bilaspur division,3,5,5.10,22.10,82.10
14,22,Chhattisgarh,5,403,Raigarh,1026,1,4,Bilaspur division,3,5,5.10,21.90,83.40
14,22,Chhattisgarh,6,401,Surguja,1034,1,5,Surguja division,3,5,5.10,23.10,83.20
6,23,Madhya Pradesh,7,452,Jabalpur,1019,1,1,Jabalpur division,3,5,5.10,23.00,80.00
6,23,Madhya Pradesh,8,457,Balaghat,1001,2,1,Jabalpur division,1,5,5.10,22.10,80.60
6,23,Madhya Pradesh,9,455,Chhindwara,1008,1,1,Jabalpur division,3,5,5.30,22.10,79.00
6,23,Madhya Pradesh,10,452,Narsinghpur,1024,2,1,Jabalpur division,1,5,5.30,22.80,79.00
6,23,Madhya Pradesh,11,456,Seoni Shivani,1037,2,1,Jabalpur division,1,5,5.30,22.10,79.70
6,23,Madhya Pradesh,12,454,Mandla,1021,2,1,Jabalpur division,1,5,5.10,25.00,88.10
6,23,Madhya Pradesh,13,427,Sagar,1033,1,2,Sagar division,3,5,5.30,23.90,78.80
6,23,Madhya Pradesh,14,428,Damoh,1009,1,2,Sagar division,3,5,5.10,24.10,79.60
6,23,Madhya Pradesh,15,424,Tikamgarh,1042,2,2,Sagar division,2,5,5.30,24.90,78.90
6,23,Madhya Pradesh,16,425,Chhatarpur,1007,2,2,Sagar division,2,5,5.30,25.10,79.50
6,23,Madhya Pradesh,17,426,Panna,1025,2,2,Sagar division,2,5,5.10,24.30,80.00
6,23,Madhya Pradesh,18,430,Rewa,1032,2,3,Rewa division,2,5,5.10,24.50,81.30
6,23,Madhya Pradesh,19,462,Sidhi,1041,1,3,Rewa division,3,5,5.10,24.30,82.00
6,23,Madhya Pradesh,20,429,Satna,1035,2,3,Rewa division,2,5,5.10,24.60,80.10
6,23,Madhya Pradesh,21,460,Shahdol,1038,1,3,Rewa division,3,5,5.10,23.50,81.10
